CGPA,Human_resources,Instructional_materials,Physical_facilities,Internet_accessibility,Transportation,Security,Students_accomodation,Electricity
2.33,2.83,2,2.57,2,4,2,2,2.33
3.51,2.67,1.5,2.43,2,4,3,3,2.33
3.23,2.83,2.5,3.14,1,2.33,4.33,2,1.67
2.02,4.67,2.5,3.43,1,4.67,4.33,4,2.67
2.81,3.83,3.25,3.43,1.33,4,3.33,2.5,2.67
3.08,3.83,3,3.29,1.67,1.67,1.67,2,2
3.22,4,2.5,2.57,1,3.33,3,3.5,2.33
3.01,3.5,2.25,3,2,3.33,4,4,2
3.12,4.33,3.25,4.14,1,1,2.33,3,1
2.22,3.83,2.75,3.43,1.33,3.33,2.67,3,3.33
3.2,3.83,3.25,3.29,3,3.67,3.33,4,2.67
3.56,4.5,3.25,3.43,1,3.33,3.33,2.5,2.67
3.66,3.83,2.5,3.57,1,4.67,4,4.5,2.33
3.19,3.67,3.25,4,1.33,2.67,2.67,3,2
2.6,3.67,3.5,3.57,2,2.67,4,3,2
2.99,3.67,4,3.43,1.67,2.67,3.67,2.5,4
3.1,3.33,3.25,3.29,1.67,2.67,3,3.5,1.67
2.73,5,3.75,3.57,3,3,3,3,3
2.5,4.17,3.25,3.86,1.33,3.33,4,3,3
3.1,4.17,3,3,2.33,1.33,2,1,1
3,3.5,2.75,3.14,1,5,3.33,2,2.33
2.39,2.83,2.75,2.71,1,4.67,3,4.5,3.67
2.81,3.5,3.75,3.43,3,3.67,3.67,3.5,1.33
2.75,3.83,2.75,3.29,2.33,2.33,4,4.5,1
3,4.5,2.75,3,1,4.33,4,4,1
3.05,3.83,3.75,3.86,4.33,4,3.67,3,2.33
3.67,3,2.5,3.29,3.67,4,3,3,2
3.02,3,2.25,3.57,1,4,2.33,2,2.33
2.77,3.17,3.25,3.14,3,5,3.33,3.5,2.33
2.45,3.33,2,2.29,1,4,1.33,1,1
2.38,3.67,3,3.57,2,2.67,2.33,2.5,3.67
3.2,3.67,3,3.43,4,3.33,2.67,4,3
3.56,3.5,3,3.71,1,2.33,2,2.5,1.67
3.01,2.5,2.5,2.71,1,3.67,1.33,2,1.33
3.44,5,2,3.86,1,3.33,3.33,2,3.33
2.5,3.17,3,3.57,2,3.33,4.33,4,2.67
3.1,3,2.25,2.57,1,2.33,2.33,3,1
2.66,3,2,2.86,1,2.67,2.67,2.5,1
3.54,2.83,3.75,3.57,1,4.33,3,3.5,4
3.21,2.83,2.25,2.86,1.33,2.67,2.67,4,1
3.23,3.5,3.5,4.43,1,2,2.33,2.5,2
2.43,3.33,2.5,3.57,1.33,2.67,2.67,3.5,1
3.63,3.67,2.75,3,1,4.33,1,4,1
3.01,3.17,2,3.14,2,1.33,2.33,2.5,2
2.38,3.83,3.25,3.57,1,3.33,4,2,1
3.52,3.5,2.5,2.71,1.33,4.33,2.67,4,5
2.63,3.83,2.5,2.43,1.33,4.33,2.67,3,1
3.12,5,3.75,4.43,2,3.33,3,3,3
3,5,4,4.57,2,3,3.33,4,4
3,4,2.75,3,3,3,3.33,3,2
3.34,3.5,2,3,1,5,2.33,3,1
3.01,3.83,4,4.14,2,2,2.33,1.5,2.33
2.58,3.67,3.25,3.71,2,2,2.67,2,2.67
3.34,2.67,4,3.57,3.33,4,4.67,3,1
2.89,4,3.75,4,2,1.67,1.67,2.5,1.33
3.32,3,3,3.71,2.33,2,2.67,3,1.67
3.42,4,4.25,4.14,1.67,1.33,2.67,1.5,2.33
2.86,4.17,3.5,4.57,2,4.33,4.33,2,1.67
3,4.33,3.75,4.57,3,4.67,4,2,3
3.51,4.33,3.25,4.14,1.33,3.67,4.67,2,2.33
3.11,3.67,4,4.71,2.67,4.33,3.33,2.5,3
2.82,3.83,4.5,4.71,2,3.33,4.33,4,3.67
3.62,4.33,4.5,4.43,2.33,4.33,3.67,3,1.67
3.41,4,3.25,3.86,2,4,3.67,3,2
3.59,4.5,4.5,4.57,2,4.33,4,4.5,1.67
3,4.67,4.5,4.43,1.33,2.67,3,2,2.33
3.22,4.67,3,3.86,1.33,4.33,4,3,3
3.56,4.67,4.25,4.29,2,4,4.33,2,2.67
2.94,4.5,3.75,4.43,1.33,2.67,3,2,1.67
2,4,3.25,3.57,2,4,3.33,4,2
3.55,3.5,3.5,3.43,1.33,4.67,3.33,4,2.33
2.6,3.33,3,3.43,1.33,4.67,3.33,4,3.33
3.05,4,2.5,3.43,1,4,2.67,4,2
2.23,4,2.5,3.29,1,4,2.67,4,2
3.09,4,2.5,3.29,2,3,3.33,3,4
2.4,4,2.5,3.29,2,3,3.33,4,2
